$VAR1 = {
                                                                      'Added' => 0,
                                                                      'Affected' => 0,
                                                                      'Archive1' => 'dropwizard-metrics-2.0.16.jar',
                                                                      'Archive2' => 'dropwizard-metrics-2.0.17.jar',
                                                                      'Path' => 'compat_report/dropwizard-metrics/2.0.16/2.0.17/be02a/bin_compat_report.html',
                                                                      'Removed' => 0,
                                                                      'Source_Affected' => 0,
                                                                      'Source_ReportPath' => 'compat_report/dropwizard-metrics/2.0.16/2.0.17/be02a/src_compat_report.html',
                                                                      'Source_TotalProblems' => 0,
                                                                      'TotalProblems' => 0
                                                                    }
                                                       }
                                         },
                             '2.0.17' => {
                                           '2.0.18' => {
                                                         '75174' => {
                                                                      'Added' => 0,
                                                                      'Affected' => 0,
                                                                      'Archive1' => 'dropwizard-metrics-2.0.17.jar',
                                                                      'Archive2' => 'dropwizard-metrics-2.0.18.jar',
                                                                      'Path' => 'compat_report/dropwizard-metrics/2.0.17/2.0.18/75174/bin_compat_report.html',
                                                                      'Removed' => 0,
                                                                      'Source_Affected' => 0,
                                                                      'Source_ReportPath' => 'compat_report/dropwizard-metrics/2.0.17/2.0.18/75174/src_compat_report.html',
                                                                      'Source_TotalProblems' => 0,
                                                                      'TotalProblems' => 0
                                                                    }
                                                       }
                                         },
                             '2.0.18' => {
                                           '2.0.19' => {
                                                         '30e78' => {
                                                                      'Added' => 0,
                                                                      'Affected' => 0,
                                                                      'Archive1' => 'dropwizard-metrics-2.0.18.jar',
                                                                      'Archive2' => 'dropwizard-metrics-2.0.19.jar',
                                                                      'Path' => 'compat_report/dropwizard-metrics/2.0.18/2.0.19/30e78/bin_compat_report.html',
                                                                      'Removed' => 0,
                                                                      'Source_Affected' => 0,
                                                                      'Source_ReportPath' => 'compat_report/dropwizard-metrics/2.0.18/2.0.19/30e78/src_compat_report.html',
                                                                      'Source_TotalProblems' => 0,
                                                                      'TotalProblems' => 0
                                                                    }
                                                       }
                                         },
                             '2.0.19' => {
                                           '2.0.20' => {
                                                         'f438d' => {
                                                                      'Added' => 0,
                                                                      'Affected' => 0,
                                                                      'Archive1' => 'dropwizard-metrics-2.0.19.jar',
                                                                      'Archive2' => 'dropwizard-metrics-2.0.20.jar',
                                                                      'Path' => 'compat_report/dropwizard-metrics/2.0.19/2.0.20/f438d/bin_compat_report.html',
                                                                      'Removed' => 0,
                                                                      'Source_Affected' => 0,
                                                                      'Source_ReportPath' => 'compat_report/dropwizard-metrics/2.0.19/2.0.20/f438d/src_compat_report.html',
                                                                      'Source_TotalProblems' => 0,
                                                                      'TotalProblems' => 0
                                                                    }
                                                       }
                                         },
                             '2.0.2' => {
                                          '2.0.3' => {
                                                       '98d78' => {
                                                                    'Added' => 0,
                                                                    'Affected' => 0,
                                                                    'Archive1' => 'dropwizard-metrics-2.0.2.jar',
                                                                    'Archive2' => 'dropwizard-metrics-2.0.3.jar',
                                                                    'Path' => 'compat_report/dropwizard-metrics/2.0.2/2.0.3/98d78/bin_compat_report.html',
                                                                    'Removed' => 0,
                                                                    'Source_Affected' => 0,
                                                                    'Source_ReportPath' => 'compat_report/dropwizard-metrics/2.0.2/2.0.3/98d78/src_compat_report.html',
                                                                    'Source_TotalProblems' => 0,
                                                                    'TotalProblems' => 0
                                                                  }
                                                     }
                                        },
                             '2.0.20' => {
                                           '2.0.21' => {
                                                         '70b1b' => {
                                                                      'Added' => 0,
                                                                      'Affected' => 0,
                                                                      'Archive1' => 'dropwizard-metrics-2.0.20.jar',
                                                                      'Archive2' => 'dropwizard-metrics-2.0.21.jar',
                                                                      'Path' => 'compat_report/dropwizard-metrics/2.0.20/2.0.21/70b1b/bin_compat_report.html',
                                                                      'Removed' => 0,
                                                                      'Source_Affected' => 0,
                                                                      'Source_ReportPath' => 'compat_report/dropwizard-metrics/2.0.20/2.0.21/70b1b/src_compat_report.html',
                                                                      'Source_TotalProblems' => 0,
                                                                      'TotalProblems' => 0
                                                                    }
                                                       }
                                         },
                             '2.0.21' => {
                                           '2.0.22' => {
                                                         'ed55b' => {
                                                                      'Added' => 0,
                                                                      'Affected' => 0,
                                                                      'Archive1' => 'dropwizard-metrics-2.0.21.jar',
                                                                      'Archive2' => 'dropwizard-metrics-2.0.22.jar',
                                                                      'Path' => 'compat_report/dropwizard-metrics/2.0.21/2.0.22/ed55b/bin_compat_report.html',
                                                                      'Removed' => 0,
                                                                      'Source_Affected' => 0,
                                                                      'Source_ReportPath' => 'compat_report/dropwizard-metrics/2.0.21/2.0.22/ed55b/src_compat_report.html',
                                                                      'Source_TotalProblems' => 0,
                                                                      'TotalProblems' => 0
                                                                    }
                                                       }
                                         },
                             '2.0.22' => {
                                           '2.0.23' => {
                                                         '3e53b' => {
                                                                      'Added' => 0,
                                                                      'Affected' => 0,
                                                                      'Archive1' => 'dropwizard-metrics-2.0.22.jar',
                                                                      'Archive2' => 'dropwizard-metrics-2.0.23.jar',
                                                                      'Path' => 'compat_report/dropwizard-metrics/2.0.22/2.0.23/3e53b/bin_compat_report.html',
                                                                      'Removed' => 0,
                                                                      'Source_Affected' => 0,
                                                                      'Source_ReportPath' => 'compat_report/dropwizard-metrics/2.0.22/2.0.23/3e53b/src_compat_report.html',
                                                                      'Source_TotalProblems' => 0,
                                                                      'TotalProblems' => 0
                                                                    }
                                                       }
                                         },
                             '2.0.23' => {
                                           '2.1.0-beta.1' => {
                                                               '0ea09' => {
                                                                            'Added' => 0,
                                                                            'Affected' => 0,
                                                                            'Archive1' => 'dropwizard-metrics-2.0.23.jar',
                                                                            'Archive2' => 'dropwizard-metrics-2.1.0-beta.1.jar',
                                                                            'Path' => 'compat_report/dropwizard-metrics/2.0.23/2.1.0-beta.1/0ea09/bin_compat_report.html',
                                                                            'Removed' => 0,
                                                                            'Source_Affected' => 0,
                                                                            'Source_ReportPath' => 'compat_report/dropwizard-metrics/2.0.23/2.1.0-beta.1/0ea09/src_compat_report.html',
                                                                            'Source_TotalProblems' => 0,
                                                                            'TotalProblems' => 0
                                                                          }
                                                             }
                                         },
                             '2.0.3' => {
                                          '2.0.4' => {
                                                       '0170c' => {
                                                                    'Added' => 0,
                                                                    'Affected' => 0,
                                                                    'Archive1' => 'dropwizard-metrics-2.0.3.jar',
                                                                    'Archive2' => 'dropwizard-metrics-2.0.4.jar',
                                                                    'Path' => 'compat_report/dropwizard-metrics/2.0.3/2.0.4/0170c/bin_compat_report.html',
                                                                    'Removed' => 0,
                                                                    'Source_Affected' => 0,
                                                                    'Source_ReportPath' => 'compat_report/dropwizard-metrics/2.0.3/2.0.4/0170c/src_compat_report.html',
                                                                    'Source_TotalProblems' => 0,
                                                                    'TotalProblems' => 0
                                                                  }
                                                     }
                                        },
                             '2.0.4' => {
                                          '2.0.5' => {
                                                       '3044d' => {
                                                                    'Added' => 0,
                                                                    'Affected' => 0,
                                                                    'Archive1' => 'dropwizard-metrics-2.0.4.jar',
                                                                    'Archive2' => 'dropwizard-metrics-2.0.5.jar',
                                                                    'Path' => 'compat_report/dropwizard-metrics/2.0.4/2.0.5/3044d/bin_compat_report.html',
                                                                    'Removed' => 0,
                                                                    'Source_Affected' => 0,
                                                                    'Source_ReportPath' => 'compat_report/dropwizard-metrics/2.0.4/2.0.5/3044d/src_compat_report.html',
                                                                    'Source_TotalProblems' => 0,
                                                                    'TotalProblems' => 0
                                                                  }
                                                     }
                                        },
                             '2.0.5' => {
                                          '2.0.6' => {
                                                       'fc887' => {
                                                                    'Added' => 0,
                                                                    'Affected' => 0,
                                                                    'Archive1' => 'dropwizard-metrics-2.0.5.jar',
                                                                    'Archive2' => 'dropwizard-metrics-2.0.6.jar',
                                                                    'Path' => 'compat_report/dropwizard-metrics/2.0.5/2.0.6/fc887/bin_compat_report.html',
                                                                    'Removed' => 0,
                                                                    'Source_Affected' => 0,
                                                                    'Source_ReportPath' => 'compat_report/dropwizard-metrics/2.0.5/2.0.6/fc887/src_compat_report.html',
                                                                    'Source_TotalProblems' => 0,
                                                                    'TotalProblems' => 0
                                                                  }
                                                     }
                                        },
                             '2.0.6' => {
                                          '2.0.7' => {
                                                       'e30c4' => {
                                                                    'Added' => 0,
                                                                    'Affected' => 0,
                                                                    'Archive1' => 'dropwizard-metrics-2.0.6.jar',
                                                                    'Archive2' => 'dropwizard-metrics-2.0.7.jar',
                                                                    'Path' => 'compat_report/dropwizard-metrics/2.0.6/2.0.7/e30c4/bin_compat_report.html',
                                                                    'Removed' => 0,
                                                                    'Source_Affected' => 0,
                                                                    'Source_ReportPath' => 'compat_report/dropwizard-metrics/2.0.6/2.0.7/e30c4/src_compat_report.html',
                                                                    'Source_TotalProblems' => 0,
                                                                    'TotalProblems' => 0
                                                                  }
                                                     }
                                        },
                             '2.0.7' => {
                                          '2.0.8' => {
                                                       'df93c' => {
                                                                    'Added' => 0,
                                                                    'Affected' => 0,
                                                                    'Archive1' => 'dropwizard-metrics-2.0.7.jar',
                                                                    'Archive2' => 'dropwizard-metrics-2.0.8.jar',
                                                                    'Path' => 'compat_report/dropwizard-metrics/2.0.7/2.0.8/df93c/bin_compat_report.html',
                                                                    'Removed' => 0,
                                                                    'Source_Affected' => 0,
                                                                    'Source_ReportPath' => 'compat_report/dropwizard-metrics/2.0.7/2.0.8/df93c/src_compat_report.html',
                                                                    'Source_TotalProblems' => 0,
                                                                    'TotalProblems' => 0
                                                                  }
                                                     }
                                        },
                             '2.0.8' => {
                                          '2.0.9' => {
                                                       '01749' => {
                                                                    'Added' => 0,
                                                                    'Affected' => 0,
                                                                    'Archive1' => 'dropwizard-metrics-2.0.8.jar',
                                                                    'Archive2' => 'dropwizard-metrics-2.0.9.jar',
                                                                    'Path' => 'compat_report/dropwizard-metrics/2.0.8/2.0.9/01749/bin_compat_report.html',
                                                                    'Removed' => 0,
                                                                    'Source_Affected' => 0,
                                                                    'Source_ReportPath' => 'compat_report/dropwizard-metrics/2.0.8/2.0.9/01749/src_compat_report.html',
                                                                    'Source_TotalProblems' => 0,
                                                                    'TotalProblems' => 0
                                                                  }
                                                     }
                                        },
                             '2.0.9' => {
                                          '2.0.10' => {
                                                        '576be' => {
                                                                     'Added' => 0,
                                                                     'Affected' => 0,
                                                                     'Archive1' => 'dropwizard-metrics-2.0.9.jar',
                                                                     'Archive2' => 'dropwizard-metrics-2.0.10.jar',
                                                                     'Path' => 'compat_report/dropwizard-metrics/2.0.9/2.0.10/576be/bin_compat_report.html',
                                                                     'Removed' => 0,
                                                                     'Source_Affected' => 0,
                                                                     'Source_ReportPath' => 'compat_report/dropwizard-metrics/2.0.9/2.0.10/576be/src_compat_report.html',
                                                                     'Source_TotalProblems' => 0,
                                                                     'TotalProblems' => 0
                                                                   }
                                                      }
                                        }
                           },
          'Changelog' => {},
          'Date' => {
                      '0.7.0' => '04-2014-04 17:35',
                      '0.7.1' => '18-2014-06 11:24',
                      '0.8.0' => '05-2015-03 10:56',
                      '0.8.1' => '07-2015-04 09:03',
                      '0.8.2' => '06-2015-07 14:23',
                      '0.8.3' => '24-2015-08 09:38',
                      '0.8.4' => '25-2015-08 21:58',
                      '0.8.5' => '03-2015-11 17:12',
                      '0.9.0' => '28-2015-10 16:32',
                      '0.9.1' => '03-2015-11 16:43',
                      '0.9.2' => '20-2016-01 12:01',
                      '0.9.3' => '20-2016-06 16:52',
                      '1.0.0' => '26-2016-07 15:19',
                      '1.0.1' => '21-2016-09 17:28',
                      '1.0.2' => '23-2016-09 20:21',
                      '1.0.3' => '28-2016-10 19:29',
                      '1.0.4' => '14-2016-11 19:04',
                      '1.0.5' => '18-2016-11 12:03',
                      '1.0.6' => '30-2017-01 20:02',
                      '1.0.7' => '20-2017-03 19:41',
                      '1.0.8' => '27-2017-06 09:24',
                      '1.0.9' => '31-2017-07 13:28',
                      '1.1.0' => '21-2017-03 11:04',
                      '1.1.1' => '19-2017-05 14:11',
                      '1.1.2' => '27-2017-06 09:48',
                      '1.1.3' => '31-2017-07 13:58',
                      '1.1.4' => '24-2017-08 10:46',
                      '1.1.5' => '17-2017-10 14:46',
                      '1.1.6' => '02-2017-11 09:04',
                      '1.1.7' => '11-2018-02 10:44',
                      '1.1.8' => '24-2018-06 21:01',
                      '1.2.0' => '06-2017-10 15:08',
                      '1.2.1' => '22-2017-11 13:28',
                      '1.2.2' => '27-2017-11 09:16',
                      '1.2.3' => '22-2018-01 23:51',
                      '1.2.4' => '11-2018-02 11:26',
                      '1.2.5' => '04-2018-04 17:39',
                      '1.2.6' => '06-2018-05 23:23',
                      '1.2.7' => '15-2018-06 09:25',
                      '1.2.8' => '24-2018-06 20:11',
                      '1.2.9' => '01-2018-10 08:54',
                      '1.3.0' => '14-2018-03 18:37',
                      '1.3.1' => '04-2018-04 18:52',
                      '1.3.10' => '29-2019-04 19:07',
                      '1.3.11' => '13-2019-05 13:05',
                      '1.3.12' => '25-2019-05 20:14',
                      '1.3.13' => '16-2019-07 21:46',
                      '1.3.14' => '07-2019-08 20:54',
                      '1.3.15' => '27-2019-09 19:32',
                      '1.3.16' => '20-2019-10 22:31',
                      '1.3.17' => '24-2019-11 11:49',
                      '1.3.18' => '30-2020-01 21:21',
                      '1.3.19' => '20-2020-02 03:20',
                      '1.3.2' => '06-2018-05 22:57',
                      '1.3.20' => '24-2020-02 17:38',
                      '1.3.21' => '26-2020-03 22:15',
                      '1.3.22' => '04-2020-04 16:44',
                      '1.3.23' => '14-2020-04 20:15',
                      '1.3.24' => '03-2020-07 09:07',
                      '1.3.25' => '31-2020-08 15:01',
                      '1.3.26' => '22-2020-10 17:28',
                      '1.3.27' => '28-2020-10 16:33',
                      '1.3.28' => '08-2020-12 15:38',
                      '1.3.29' => '06-2021-01 15:32',
                      '1.3.3' => '06-2018-06 22:17',
                      '1.3.4' => '15-2018-06 10:34',
                      '1.3.5' => '24-2018-06 18:37',
                      '1.3.6' => '01-2018-10 08:27',
                      '1.3.7' => '02-2018-10 12:41',
                      '1.3.8' => '01-2019-01 14:37',
                      '1.3.9' => '24-2019-02 02:01',
                      '2.0.0' => '09-2019-12 21:59',
                      '2.0.1' => '30-2020-01 20:56',
                      '2.0.10' => '18-2011-01 18:12',
                      '2.0.11' => '18-2011-01 18:12',
                      '2.0.12' => '18-2011-01 18:12',
                      '2.0.13' => '18-2011-01 18:12',
                      '2.0.14' => '18-2011-01 18:12',
                      '2.0.15' => '18-2011-01 18:12',
                      '2.0.16' => '18-2011-01 18:12',
                      '2.0.17' => '18-2011-01 18:12',
                      '2.0.18' => '18-2011-01 18:12',
                      '2.0.19' => '18-2011-01 18:12',
                      '2.0.2' => '20-2020-02 02:23',
                      '2.0.20' => '18-2011-01 18:12',
                      '2.0.21' => '18-2011-01 18:12',
                      '2.0.22' => '18-2011-01 18:12',
                      '2.0.23' => '18-2011-01 18:12',
                      '2.0.3' => '26-2020-03 21:16',
                      '2.0.4' => '27-2020-03 19:10',
                      '2.0.5' => '29-2020-03 01:26',
                      '2.0.6' => '04-2020-04 14:40',
                      '2.0.7' => '10-2020-04 07:12',
                      '2.0.8' => '14-2020-04 19:19',
                      '2.0.9' => '04-2020-05 06:14',
                      '2.1.0-beta.1' => '18-2011-01 18:12'
                    },
          'Maintainer' => 'Dropwizard Committers',
          'MaintainerUrl' => 'https://www.dropwizard.io/',
          'PackageDiff' => {
                             '0.7.0' => {
                                          '0.7.1' => {
                                                       'Changed' => '0.3',
                                                       'Path' => 'package_diff/dropwizard-metrics/0.7.0/0.7.1/report.html'
                                                     }
                                        },
                             '0.7.1' => {
                                          '0.8.0' => {
                                                       'Changed' => '11.9',
                                                       'Path' => 'package_diff/dropwizard-metrics/0.7.1/0.8.0/report.html'
                                                     }
                                        },
                             '0.8.0' => {
                                          '0.8.1' => {
                                                       'Changed' => '0.2',
                                                       'Path' => 'package_diff/dropwizard-metrics/0.8.0/0.8.1/report.html'
                                                     }
                                        },
                             '0.8.1' => {
                                          '0.8.2' => {
                                                       'Changed' => '0.2',
                                                       'Path' => 'package_diff/dropwizard-metrics/0.8.1/0.8.2/report.html'
                                                     }
                                        },
                             '0.8.2' => {
                                          '0.8.3' => {
                                                       'Changed' => '0.2',
                                                       'Path' => 'package_diff/dropwizard-metrics/0.8.2/0.8.3/report.html'
                                                     }
                                        },
                             '0.8.3' => {
                                          '0.8.4' => {
                                                       'Changed' => '0.2',
                                                       'Path' => 'package_diff/dropwizard-metrics/0.8.3/0.8.4/report.html'
                                                     }
                                        },
                             '0.8.4' => {
                                          '0.8.5' => {
                                                       'Changed' => '0.3',
                                                       'Path' => 'package_diff/dropwizard-metrics/0.8.4/0.8.5/report.html'
                                                     }
                                        },
                             '0.8.5' => {
                                          '0.9.0' => {
                                                       'Changed' => '1.6',
                                                       'Path' => 'package_diff/dropwizard-metrics/0.8.5/0.9.0/report.html'
                                                     }
                                        },
                             '0.9.0' => {
                                          '0.9.1' => {
                                                       'Changed' => '0.3',
                                                       'Path' => 'package_diff/dropwizard-metrics/0.9.0/0.9.1/report.html'
                                                     }
                                        },
                             '0.9.1' => {
                                          '0.9.2' => {
                                                       'Changed' => '0.4',
                                                       'Path' => 'package_diff/dropwizard-metrics/0.9.1/0.9.2/report.html'
                                                     }
                                        },
                             '0.9.2' => {
                                          '0.9.3' => {
                                                       'Changed' => '0.4',
                                                       'Path' => 'package_diff/dropwizard-metrics/0.9.2/0.9.3/report.html'
                                                     }
                                        },
                             '0.9.3' => {
                                          '1.0.0' => {
                                                       'Changed' => '4.1',
                                                       'Path' => 'package_diff/dropwizard-metrics/0.9.3/1.0.0/report.html'
                                                     }
                                        },
                             '1.0.0' => {
                                          '1.0.1' => {
                                                       'Changed' => '0.3',
                                                       'Path' => 'package_diff/dropwizard-metrics/1.0.0/1.0.1/report.html'
                                                     }
                                        },
                             '1.0.1' => {
                                          '1.0.2' => {
                                                       'Changed' => '0.2',
                                                       'Path' => 'package_diff/dropwizard-metrics/1.0.1/1.0.2/report.html'
                                                     }
                                        },
                             '1.0.2' => {
                                          '1.0.3' => {
                                                       'Changed' => '0.2',
                                                       'Path' => 'package_diff/dropwizard-metrics/1.0.2/1.0.3/report.html'
                                                     }
                                        },
                             '1.0.3' => {
                                          '1.0.4' => {
                                                       'Changed' => '0.3',
                                                       'Path' => 'package_diff/dropwizard-metrics/1.0.3/1.0.4/report.html'
                                                     }
                                        },
                             '1.0.4' => {
                                          '1.0.5' => {
                                                       'Changed' => '0.2',
                                                       'Path' => 'package_diff/dropwizard-metrics/1.0.4/1.0.5/report.html'
                                                     }
                                        },
                             '1.0.5' => {
                                          '1.0.6' => {
                                                       'Changed' => '0.2',
                                                       'Path' => 'package_diff/dropwizard-metrics/1.0.5/1.0.6/report.html'
                                                     }
                                        },
                             '1.0.6' => {
                                          '1.0.7' => {
                                                       'Changed' => '0.3',
                                                       'Path' => 'package_diff/dropwizard-metrics/1.0.6/1.0.7/report.html'
                                                     }
                                        },
                             '1.0.7' => {
                                          '1.0.8' => {
                                                       'Changed' => '0.4',
                                                       'Path' => 'package_diff/dropwizard-metrics/1.0.7/1.0.8/report.html'
                                                     }
                                        },
                             '1.0.8' => {
                                          '1.0.9' => {
                                                       'Changed' => '0.2',
                                                       'Path' => 'package_diff/dropwizard-metrics/1.0.8/1.0.9/report.html'
                                                     }
                                        },
                             '1.0.9' => {
                                          '1.1.0' => {
                                                       'Changed' => '4.2',
                                                       'Path' => 'package_diff/dropwizard-metrics/1.0.9/1.1.0/report.html'
                                                     }
                                        },
                             '1.1.0' => {
                                          '1.1.1' => {
                                                       'Changed' => '0.6',
                                                       'Path' => 'package_diff/dropwizard-metrics/1.1.0/1.1.1/report.html'
                                                     }
                                        },
                             '1.1.1' => {
                                          '1.1.2' => {
                                                       'Changed' => '0.2',
                                                       'Path' => 'package_diff/dropwizard-metrics/1.1.1/1.1.2/report.html'
                                                     }
                                        },
                             '1.1.2' => {
                                          '1.1.3' => {
                                                       'Changed' => '0.2',
                                                       'Path' => 'package_diff/dropwizard-metrics/1.1.2/1.1.3/report.html'
                                                     }
                                        },
                             '1.1.3' => {
                                          '1.1.4' => {
                                                       'Changed' => '0.3',
                                                       'Path' => 'package_diff/dropwizard-metrics/1.1.3/1.1.4/report.html'
                                                     }
                                        },
                             '1.1.4' => {
                                          '1.1.5' => {
                                                       'Changed' => '0.3',
                                                       'Path' => 'package_diff/dropwizard-metrics/1.1.4/1.1.5/report.html'
                                                     }
                                        },
                             '1.1.5' => {
                                          '1.1.6' => {
                                                       'Changed' => '0.2',
                                                       'Path' => 'package_diff/dropwizard-metrics/1.1.5/1.1.6/report.html'
                                                     }
                                        },
                             '1.1.6' => {
                                          '1.1.7' => {
                                                       'Changed' => '0.3',
                                                       'Path' => 'package_diff/dropwizard-metrics/1.1.6/1.1.7/report.html'
                                                     }
                                        },
                             '1.1.7' => {
                                          '1.1.8' => {
                                                       'Changed' => '0.3',
                                                       'Path' => 'package_diff/dropwizard-metrics/1.1.7/1.1.8/report.html'
                                                     }
                                        },
                             '1.1.8' => {
                                          '1.2.0' => {
                                                       'Changed' => '17.9',
                                                       'Path' => 'package_diff/dropwizard-metrics/1.1.8/1.2.0/report.html'
                                                     }
                                        },
                             '1.2.0' => {
                                          '1.2.1' => {
                                                       'Changed' => '0.4',
                                                       'Path' => 'package_diff/dropwizard-metrics/1.2.0/1.2.1/report.html'
                                                     }
                                        },
                             '1.2.1' => {
                                          '1.2.2' => {
                                                       'Changed' => '0.2',
                                                       'Path' => 'package_diff/dropwizard-metrics/1.2.1/1.2.2/report.html'
                                                     }
                                        },
                             '1.2.2' => {
                                          '1.2.3' => {
                                                       'Changed' => '0.3',
                                                       'Path' => 'package_diff/dropwizard-metrics/1.2.2/1.2.3/report.html'
                                                     }
                                        },
                             '1.2.3' => {
                                          '1.2.4' => {
                                                       'Changed' => '0.2',
                                                       'Path' => 'package_diff/dropwizard-metrics/1.2.3/1.2.4/report.html'
                                                     }
                                        },
                             '1.2.4' => {
                                          '1.2.5' => {
                                                       'Changed' => '0.4',
                                                       'Path' => 'package_diff/dropwizard-metrics/1.2.4/1.2.5/report.html'
                                                     }
                                        },
                             '1.2.5' => {
                                          '1.2.6' => {
                                                       'Changed' => '0.4',
                                                       'Path' => 'package_diff/dropwizard-metrics/1.2.5/1.2.6/report.html'
                                                     }
                                        },
                             '1.2.6' => {
                                          '1.2.7' => {
                                                       'Changed' => '0.4',
                                                       'Path' => 'package_diff/dropwizard-metrics/1.2.6/1.2.7/report.html'
                                                     }
                                        },
                             '1.2.7' => {
                                          '1.2.8' => {
                                                       'Changed' => '0.4',
                                                       'Path' => 'package_diff/dropwizard-metrics/1.2.7/1.2.8/report.html'
                                                     }
                                        },
                             '1.2.8' => {
                                          '1.2.9' => {
                                                       'Changed' => '0.3',
                                                       'Path' => 'package_diff/dropwizard-metrics/1.2.8/1.2.9/report.html'
                                                     }
                                        },
                             '1.2.9' => {
                                          '1.3.0' => {
                                                       'Changed' => '0.4',
                                                       'Path' => 'package_diff/dropwizard-metrics/1.2.9/1.3.0/report.html'
                                                     }
                                        },
                             '1.3.0' => {
                                          '1.3.1' => {
                                                       'Changed' => '0.4',
                                                       'Path' => 'package_diff/dropwizard-metrics/1.3.0/1.3.1/report.html'
                                                     }
                                        },
                             '1.3.1' => {
                                          '1.3.2' => {
                                                       'Changed' => '0.4',
                                                       'Path' => 'package_diff/dropwizard-metrics/1.3.1/1.3.2/report.html'
                                                     }
